author_id,created_at,id,tweet
17680050,2023-01-18 16:49:05+00:00,1615753153298796545,"Finding the right menopause supplement that works for you.
#AD #health #menopause #supplements

https://t.co/TOFcJZdpPP"
263257931,2023-01-18 16:45:00+00:00,1615752124905684996,"GET £50 FREE BETS FOR THIS WEEK'S ACTION!

Bet £10 on any ANY football tonight...

GET £50 IN FREE BETS! ✅

Join bet365 HERE: https://t.co/8u5GFTFFjq

#Ad | New Customer Offer | 18+ BeGambleAware https://t.co/vxMXRWhEYM"
263257931,2023-01-18 16:35:58+00:00,1615749853732110336,"NEW BET UK CUSTOMERS! 🔥

Bet £10 and get Get £30 in FREE BETS for tonight's FA Cup action!

Join HERE: https://t.co/tKODamg4rv

#Ad | New Customer Offer | 18+ | T&amp;Cs Apply | BeGambleAware https://t.co/YW4zkpVwmV"
76919389,2023-01-18 16:35:30+00:00,1615749733384847360,"👀 NAP OF THE DAY RUNS SOON!! 👀

⭕ 4.50 Dundalk

Back today's NAP here ➡️ https://t.co/cw1yXGzeJy

Sign up to 888Sport + place a £10 bet on the NAP to get £30 in FREE BETS! 👇

🌟 https://t.co/tlk5CmvSCS 🌟
 
🔞 T&amp;Cs Apply. BeGambleAware #Ad https://t.co/zkAYIt0YdA"
134462907,2023-01-18 16:34:03+00:00,1615749369696763904,"OHIO, sports betting is FINALLY here 🏆 

1️⃣ Claim your EXCLUSIVE $200 bonus from FanDuel: https://t.co/SudXOTgEXo
2️⃣ Bet $5 on ANY game
3️⃣ Win $200 GUARANTEED

Simple. As. That. 

(21+ and present in OH. Gambling Problem? Call 1-800-GAMBLER) #ad https://t.co/Eiq0Yobj3n"
28955739,2023-01-18 16:32:54+00:00,1615749080592052226,"Shin Megami Tensei V (Switch) is $29 on Amazon https://t.co/pv36k75Oz1
GameStop https://t.co/TcNqTOGPDn #ad https://t.co/JlK5Ex1oGR"
28955739,2023-01-18 16:32:09+00:00,1615748890120290305,"Funko Pop! Marvel: Captain America: Civil War Build A Scene - Black Panther, Amazon Exclusive up for preorder on Amazon ($14.99) https://t.co/BdHb92cC3D #ad https://t.co/2hUoaflqya"
2788130300,2023-01-18 16:31:00+00:00,1615748600868347906,"Want a family getaway where it's always 82 degrees? That's the case at Soaring Eagle Waterpark and Hotel. Check out these great deals for this weekend. #sponsored 

https://t.co/PRhPqtgeCI"
263257931,2023-01-18 16:27:00+00:00,1615747594327556106,"Our #StatPack double for tonight is LIVE 🔥

🎯 Rashford 2+ SoT
❌ Shaw 2+ fouls

Coming in at 9/2, back it here 👉 https://t.co/LzfqWfQDcN

#Ad 18+ BeGambleAware https://t.co/P7F7xkC2uk"
868494434,2023-01-18 16:25:00+00:00,1615747090939879425,"⚡️ TODAY'S PREMIUM BOOST ⚡️

🚀 NOW 40/1!!

🏆 Leeds + Man Utd to win
⛳️ Leeds + Man Utd 5+ corners
⚽️ Over 2.5 goals in each game
🟨 CAR + CRY 20+ Booking pts

Add directly to your slips 👇
https://t.co/8f2vElz44u

#AD | 18+ | BeGambleAware | Always Gamble Responsibly https://t.co/IfTjhM9C8S"
785932707725324290,2023-01-18 16:20:00+00:00,1615745833017774085,"#ad When winter weather disrupts your power, @bluetti_inc is here to help. ⚡️
https://t.co/5w31Vhimeo"
28955739,2023-01-18 16:18:28+00:00,1615745448962330624,"Resident Evil Village (Steam) is $16.79 on Fanatical https://t.co/yGc4lb54bv #ad 

Deck playable https://t.co/lkst9i36Wp"
27750488,2023-01-18 16:17:57+00:00,1615745317412167680,#Ad / Have you checked out my Groove Gear Collection with @smashtess yet? I had so much fun designing these pieces and I can't wait to see you wearing them! Check it out here: https://t.co/TasaB6KRmE
868494434,2023-01-18 16:15:30+00:00,1615744700903743488,"⚫️ FITZDARES OFFER! 🟠

Try Fitzdares for our Dark Horse!

Bet £30 and get £30 in FREE BETS + 20 Free Spins when you join Fitzdares! 🐴

Join HERE: 
https://t.co/PEYGo0I5dg

#Ad | New Customer Offer | 21+ | T&amp;Cs Apply | BeGambleAware https://t.co/GDcHPC1Oi6"
263257931,2023-01-18 16:15:00+00:00,1615744574835642373,"🦅 CRYSTAL PALACE vs MAN UNITED BUILDABET 🔴

🔥 Coming in at a WHOPPING 120/1

Back it here 👉 https://t.co/uDy577Bcku

#Ad 18+ BeGambleAware https://t.co/bvEdvFwblL"
2788130300,2023-01-18 16:13:00+00:00,1615744071284178944,"Getting surprised by your finances, especially in retirement, is not fun. @MattsonFS shares ways people can avoid those unhappy surprises in retirement as well as continue to have their money grow. #sponsored #retirement #money 

https://t.co/wtoLWdzurC"
17602896,2023-01-18 16:00:35+00:00,1615740947572162560,"How many of these #Sundance classics have you seen? 

#Sponsored by @Acura https://t.co/KSzYryXsy3"
2999462727,2023-01-18 16:00:32+00:00,1615740936062963715,💄 Find the ones to get glam with 😍 OG Bombshell @BootsUK has entered the villa! Get the Islander look here: https://t.co/bQYcRr1f6K #ad https://t.co/YTRHwH9cC4
333915533,2023-01-18 16:00:01+00:00,1615740805716525057,"#Ad

Do you have what it takes to be the Ultimate Champion? 🏆

Use your EFL knowledge to scout the best players and build a fantasy club that will dominate on @UltiChamps 🏆

Play now ⬇️"
44928072,2023-01-18 16:00:01+00:00,1615740803355115521,"Did you guess it? Here are the answers! 

Tugomania is brought to you by Slotomania Download now and get 1 million free coins! #ad https://t.co/nIw6Izgm5F https://t.co/M2OAcam1Jq"
17680050,2023-01-18 15:57:03+00:00,1615740059893776384,"Anne will not only help promote the soups, she’s won a luxury holiday with her family.
#AD @Scotty__Brand

https://t.co/C5bXcCfaCJ"
6620582,2023-01-18 15:56:02+00:00,1615739800320868352,". @The_Churchill is recruiting for a theatre technician to assist in the preparation and running of shows, maintain health and safety and fire safety procedures, and more.

Find out more: https://t.co/p3OATlBu0q #Ad https://t.co/CNXxjxKg8D"
868494434,2023-01-18 20:35:00+00:00,1615810005499842599,"Not got a bet365 account?

Bet £10 when you join and get £50 in FREE BETS!!

Claim HERE: https://t.co/86xFPC9NFg 

#Ad | New Customer Offer | 18+ | T&amp;C’s Apply | BeGambleAware https://t.co/Cl2s62mMoa"
860207369875316736,2023-01-18 20:33:17+00:00,1615809573721411590,"The new @endgamegear XM2we mouse is finally here! 🔥 To give you a first-hand look, we've got @lauNXcs_ unboxing and reviewing the mouse for you. 👀 #AD

➡️ https://t.co/9KnrXFPHEv https://t.co/UUka9hYSqd"
15229557,2023-01-18 20:32:03+00:00,1615809263611297792,"Could you find your next investment opportunity in a heritage distillery in Scotland?
#AD @whiskypartners #investment #whisky
https://t.co/XOKjgAxM82"
22783783,2023-01-18 20:20:25+00:00,1615806335706140694,We want to know about your priorities. [#Sponsored by @MLAGlobal] https://t.co/uzj5fgug5u
1654279704,2023-01-18 20:08:42+00:00,1615803387991449600,"In the market for a new gaming laptop?! I teamed up with @BunnyFuFuu to test out the stylish and durable Chromebook Vibe CX55 Flip by @ASUSUSA ! Check out the video for highlights from our game and for more info on getting your own chromebook 😊  #ad

▶️ https://t.co/jte5iq21TE"
28955739,2023-01-18 20:03:16+00:00,1615802020832874496,Atari 50: The Anniversary Celebration (PS4 used) is $19.99 at Gamefly https://t.co/NkntZsXXHJ #ad https://t.co/KfQzegFr6d
14699835,2023-01-18 20:02:49+00:00,1615801908257558537,"Access MBA’s events are back in a city near you! Meet UCLA, Tuck, Carnegie Mellon, Georgetown, MIT, UT Austin &amp; more! Sign up for free! https://t.co/JC4zuP8feb #sponsored https://t.co/nTzqKPgImL"
